,Дата,Время,Отзыв
48,12 февраля 2014,14:57,"Отвечаю про химический факультет. Учиться достаточно тяжело. 1) Много времени проводишь в стенах факультета, поэтому нельзя бояться оставаться после 18-30 (5 пара) на кафедре для работы еще на 2-3 часа (хотя бы 2-3 раза в неделю) - научная работа. 2) Необходимо сломать представление о том, что преподаватель все разжует, поэтому нужно быть приученным читать учебники и доп. литературу. Кстати, домашних работ как не странно мало (в смысле можно их не делать без всяких последствий, в отличие от техниченских вузов, например РХТУ или МИТХТ, где много расчетных проектов). Но контрольные все равно писать прийдется - сами понимаете.3) Нужно не бояться читать английские научные статьи (в начале ребята обычно шарахаются). Учить теории перевода будут, но научные сотрудники факультета (почему-то) хотят сразу видеть подготовленного студента. 4) Что бы кто не говорил, по окончанию нужно нацеливать себя только на иннновационные отрасли в работе (наука и высокие технологии), либо педагогика. Знаю много людей которые закончили химфак, а им такая работа не по душе, в итоге сейчас переучиваются на экономистов и тд. По окончанию других институтов, эта проблема стоим не так остро (наверное потому, что учиться проще и, поэтому не так жалко, что не устроился по специальности - чисто психологическая проблема). Лично у меня адаптация наступила только на 2 ой год. По жизни выходит так, что ребята закончившие разные институты подчас оказываются работать в одной и той же организации (причем как в России, так и за рубежом). И там никто не смотрит на твой диплом, а смотрят на личные качества - ответственность работоспособность, покладистость и тд. МГУ для среднестатистического выпускника не дает ровным счетом ни каких привелегий. Поэтому не морочте себе голову с научным МГУ, идите и получайте нормальное инженерное образование в вузах типа МАИ, МИФИ, РХТУ, МЭИ и тд. - такое образование самое универсальное, и учиться, говорят, комфортнее.







"
49,03 октября 2014,21:47,"Очень интересный отзыв о химфаке МГУ, спасибо. Я на распутье между химфаком МГУ и ВХК. Судя по спискам поступивших, и туда и туда идут финалисты Всеросса. Где все-таки дают образование сильнее? Скажите, выпускники химфака востребованы в России, за границей?







"
50,23 марта 2014,23:46,"Расскажите, пожалуйста, о ВШГАудит







"
51,24 апреля 2017,21:29,"Рубеж 80-х 90-х, ГЗ, профком МГУ; конец отчётного года или как это у них там называется. И срочно надо освоить ск-ко-то, иначе в следующем году могут урезать.В итоге получаем липовую командировку на двоих во Владивостокский универ, к-ю до сих пор вспоминаем с ностальгией и...благодарностью родному профкому;-)







"
52,01 июня 2018,17:51,"МГУ-это всего лишь бренд с завышенной самооценкой! Может раньше он и был лучший в стране,но не сейчас! Обшарпанный внутри,с облезлыми стенами,а преподы-да это ж ужас какой-то,старые маразматики! У нас что в стране нет молодых? Чему могужет научить древний дед или старуха которые еле ходят,не говоря уже о какой-то преподавательской деятельности?Зайдите на химфак и вы ужаснётесь! Я не понимаю куда смотрит декан этого факультета? Там преподавателям всем-очень далеко за 70-80 лет! Есть молодые учёные,но из-за того что «старьё « крепко засело там им не дают хода! Их рубят прям в зачатке!







"
53,06 мая 2014,20:22,"По рейтингу сразу видно, что голосуют злобные отчисленные студенты и те, у кого учится в МГУ мозгов не хватает. Ага, десятое место, ну-ну)







"
54,24 февраля 2015,15:39,"Мгу это как мордовский пед. колледж но с большими претензиями и очень высоким чсв Вы верите в это? Тогда вы осел. Счастья вам в стране дураков .







"
55,14 мая 2014,21:20,"Образование средненькое, но корочка МГУ престижная и ценится при приёме на работу!.







"
56,22 мая 2015,20:58,"А эти все ребята в своем поведении - образец для подражания???У нас к вьетнамцам наоборот относились по отечески.







"
57,28 июня 2014,13:08,"Знаний не дают, а оплата за обучение высокая и повышается на много с каждым годом. Отношение к студентам неуважительное, отвратительное. Обучения никакого, зато нервы все вытянут. Программа обучения не продумана. Факультет Гос. аудита просто никакой. 







"
58,28 июня 2014,21:56,"ректор МГУ Садовничий нарушает Трудовой Кодекс, его вольяжность и присутствие на тусовках властьпридержащих выглядит неприятно,а увольнение Дугина-честного, порядочного человека,открыто выражающего свое мнение -не делает чести Садовничем, а МГУ нуждается во всесторонней финансовой,прокурорской и чекисткой проверках-очень много сигналов о злоупотреблениях в этом ""блатном""учреждении







"
59,23 июля 2017,20:38,"А вы точно  из МГУ? Такая неграмотность-продукт обучения?







"
60,17 июля 2014,15:39,"Это Дугин-то порядочный и честный?:))) Его к студентам нельзя - нездоров он







"
61,22 июля 2014,18:47,"В Китай лезут. Уж со своими бы были внимательнее. Никто никому не нужен.Ушла в академический- хоть бы кто раз позвонил или написал- живая я там вообще или нет. Не каждый будет учиться на одних амбициях и бегать за ними...







"
